,text,target,title
3696,"I have posted a DOS MPEG decoder/player to alt.binaries.pictures.utilities.

Here is a short description and some technical information, taken from the
accompanying documentation:


                              DMPEG V1.0

                       Public Domain MPEG decoder

                           by Stefan Eckart


0. Features
===========

DMPEG/DMPLAY is another MPEG decoder/player for the PC:


 - decodes (nearly) the full MPEG video standard
   (I,P,B frames, frame size up to at least 352x240 supported)

 - saves decoded sequence in 8 or 24bit raw file for later display

 - optional on-screen display during decoding (requires VGA)

 - several dithering options: ordered dither, Floyd-Steinberg, grayscale

 - color-space selection

 - runs under DOS, 640KB RAM, no MS-Windows required

 - very compact (small code / small data models, 16 bit arithmetic)

 - real time display of the raw file by a separate player for
   VGA and many Super-VGAs

...

4. Technical information
========================

The player is a rather straightforward implementation of the MPEG spec [1].
The IDCT is based on the Chen-Wang 13 multiplication algorithm [2]
(not quite the optimum, I know). Blocks with not more than eight non-zero
coefficients use a non-separated direct multiply-accumulate 2D-IDCT
(sounds great, doesn't it?), which turned out to be faster than a 'fast'
algorithm in this (quite common) case. Dithering is pretty standard. Main
difference to the Berkeley decoder (except for the fewer number of supported
algorithms) is the use of 256 instead of 128 colors, the (default) option to
use a restricted color-space and the implementation of a color saturation
dominant ordered dither. This leads to a significantly superior quality of
the dithered image (I claim, judge yourself).

Restricted color-space means that the U and V components are clipped to
+/-0.25 (instead of +/-0.5) and the display color-space points are distributed
over this restricted space. Since the distance between color-space points
is thus reduced by a factor of two, the color resolution is doubled at the
expense of not being able to represent fully saturated colors.

Saturation dominant ordered dither is a method by which a color, lying
somewhere between the points of the display color space, is approximated
by primarily alternating between two points of constant hue instead of
constant saturation. This yields subjectivly better quality due to the
lower sensitivity of the human viewing system to saturation changes than
to hue changes (the same reasoning as used by the PAL TV standard to improve
on NTSC). The improvement is particularly visible in dark brown or redish
areas.

...
",1,comp.graphics
9804,"



You also have a severe problem with news headers.

FTP to cs.purdue.edu:pub/vanecek and pull proxima.tar.Z
and proxima.ps.Z.  Tres spif.

-- ",1,comp.graphics
1764,"hi guys
 like all people in this group i'm a fans of fractal and render sw
 my favourite are fractint pov & 3dstudio 2.0 
 now listen my ideas
 i'have just starting now to be able to use 3dstudio quite well
 so i'm simulating a full animation of a f1 grand prix
 unfortanatly just some lap(10?)
 i' m very interested about all kind of .prj .3ds and so on
 concerning about cars or parts of its (motors wheel ...)
 (dxf are good enough)
 does anyone have object to give me to complete my hard animation


 anyway any exchanges about object material project will
 be VERY APRECIATE!!!!!

 is there a ftp site where I can find its?

 i' m looking for .pov files too
 (i 'm interested about cpu time comparision rendering images on
 pov & 3dstusio)

 thank to all
",1,comp.graphics
8764,"I was recently talking to a possible employer ( mine! :-) ) and he made a reference to a
48-bit graphics computer/image processing system.  I seem to remember it being called IMAGE or
something akin to that.  Anyway, he claimed it had 48-bit color + a 12-bit alpha channel.  That's
60 bits of info--what could that possibly be for?  Specifically the 48-bit color?  That's 280
trillion colors, many more than the human eye can resolve.  Is this an anti-aliasing thing?  Or
is this just some magic number to make it work better with a certain processor.

	Also, to settle a bet with my roommate, what are SGI's flagship products?  I know of
Iris, Indigo, and Crimson, but what are the other ones, and which is their top-of-the-line?
(sadly, I have access to none of them.  Just a DEC 5000/25.  Sigh.)",1,comp.graphics
7965,"Could someone explain the difference between Tom Gaskins' two books:

  o  PEXLIB Programming Manual
  o  PHIGS Programming Manual

Why would I want to buy one book vs the other book?  I have an 80386
running SCO UNIX (X11R4) on my desktop, a SUN IV/360 in my lab, and 
access to a variety of other systems (Alliant FX/2800, Cray Y/MP) on
the network.  Mostly, we would like to do 3D modeling/visualization
of rat, rabbit, monkey, and human brain structure.

Thanks, AJ

------------------------------------------------------------------------------
Alexander-James Annala
Principal Investigator
Neuroscience Image Analysis Network
HEDCO Neuroscience Building, Fifth Floor
University of Southern California
University Park
Los Angeles, CA 90089-2520",1,comp.graphics
8232,"

Why not use the PD C library for reading/writing TIFF files? It took me a
good 20 minutes to start using them in your own app.

Martin

--
---------------------------------------------------------------------------",1,comp.graphics
4394,"==============================
                              GASPRA ANIMATION
                                March 12, 1993
                       ==============================

     The Gaspra animation is now available at the Ames Space Archives in 
QuickTime format.  The animation was formed from 11 images taken by the 
Galileo spaecraft shortly before its closest approach to the asteroid in 
October 1991.  The animation is available using anonymous ftp to:",1,comp.graphics
284,"I'm using ""rayshade"" on the u.w. computers here, and i'd like input
from other users, and perhaps swap some ideas.  I could post
uuencoded .gifs here, or .ray code, if anyone's interested.  I'm having
trouble coming up with colors that are metallic (i.e. brass, steel)
from the RGB values.

If you're on the u.w. machines, check out ""~fineman/rle.files/*.rle"" on 
stein.u.washington.edu for some of what i've got.  ",1,comp.graphics
5154,"
A 68070 is just a 68010 with a built in MMU.  I don't even think that Moto.
manufactures them.

                                  - Ian Romanick
                                    Dancing Fool of Epsilon",1,comp.graphics
5466,"Dear Binary Newsers,

I am looking for Quick C or Microsoft C code for image decoding from file for
VGA viewing and saving images from/to GIF, TIFF, PCX, or JPEG format. I have
scoured the Internet, but its like trying to find a Dr. Seuss spell checker 
TSR. It must be out there, and there's no need to reinvent the wheel.

Thanx in advance.

//////////////",1,comp.graphics
3261,"Does ANYONE out there in Net-land have any information on the Cobra 2.20 
card?  The sticker on the end of the card reads
        Model: Cobra 1-B-1
        Bios:  Cobra v2.20

I Havn't been able to find anything about it from anyone!  If you have 
any information on how to get a hold of the company which produces the 
card or know where any drivers are for it, PLEASE let me know!

As far as I can tell, it's a CGA card that is taking up 2 of my 16-bit 
ISA slots but when I enable the test patterns, it displays much more than 
the usualy 4 CGA colors... At least 16 from what I can count.. Thanks!

              .------------------------------------------.
              : Internet: jele@eis.calstate.edu          :
              :           bbs.mirage@gilligan.tsoft.net  :
              :           bbs.mirage@tsoft.sf-bay.org    :
              :           mirage@thetech.com             :
              : UUCP    : apple.com!tsoft!bbs.mirage     :
              `------------------------------------------'",1,comp.graphics
275,"I downloaded an image of the earth re-constructed from elevation data taken
at 1/2 degree increments. The author (not me) wrote some c-code (included)
that read in the data file and generated b&w and pseudo color images. They
work very well and are not incumbered by copyright. They are at an aminet
site near you called earth.lha in the amiga/pix/misc area...

I refer you to the included docs for the details on how the author (sorry, I
forget his name) created these images. The raw data is not included.

-- 
	David

	David M. Ingebretsen
	Evans & Sutherland Computer Corp.
	dingebre@thunder.sim.es.com",1,comp.graphics
2304,"

Do you happen to know what a .SCO RIX file is?
",1,comp.graphics
3757,"
Graeme> 	Yes, that's known as ""Bresenhams Run Length Slice Algorithm for
Graeme> Incremental lines"". See Fundamental Algorithms for Computer Graphics,
Graeme> Springer-Verlag, Berlin Heidelberg 1985.


Graeme> 	Hmm. I don't think I can help you with this, but you might
Graeme> take a look at the following:

Graeme> 	""Double-Step Incremental Generation of Lines and Circles"",
Graeme> X. Wu and J. G. Rokne, Computer Graphics and Image processing,
Graeme> Vol 37, No. 4, Mar. 1987, pp. 331-334

Graeme> 	""Double-Step Generation of Ellipses"", X. Wu and J. G. Rokne,
Graeme> IEEE Computer Graphics & Applications, May 1989, pp. 56-69

Another paper you might want to consider is:

@article{fungdraw,
  title=""A Run-Length Slice Line Drawing Algorithm without Division Operations"",
  author=""Khun Yee Fung and Tina M. Nicholl and A. K. Dewdney"",
  journal=""Computer Graphics Forum"",
  year=1992,
  volume=11,
  number=3,
  pages=""C-267--C-277""
}

Khun Yee",1,comp.graphics
4305,"


  Actually the most flexible way to create temp files is to check for a TEMP or
TMP environment variable and create the files on the drive and directory pointedto by the variable.  This is pretty much a standard for DOS, Windows and OS/2
applications.


-- 
What I have to say is my own opinion and has no bearing on any other person or
organization including my employer.",1,comp.graphics
3094,"**********************************************************************

		      2ND CALL FOR PRESENTATIONS
	
      NAVY SCIENTIFIC VISUALIZATION AND VIRTUAL REALITY SEMINAR

			Tuesday, June 22, 1993

	    Carderock Division, Naval Surface Warfare Center
	      (formerly the David Taylor Research Center)

			  Bethesda, Maryland

**********************************************************************

SPONSOR: NESS (Navy Engineering Software System) is sponsoring a 
one-day Navy Scientific Visualization and Virtual Reality Seminar.  
The purpose of the seminar is to present and exchange information for
Navy-related scientific visualization and virtual reality programs, 
research, developments, and applications.

PRESENTATIONS: Presentations are solicited on all aspects of 
Navy-related scientific visualization and virtual reality.  All 
current work, works-in-progress, and proposed work by Navy 
organizations will be considered.  Four types of presentations are 
available.

     1. Regular presentation: 20-30 minutes in length
     2. Short presentation: 10 minutes in length
     3. Video presentation: a stand-alone videotape (author need not 
	attend the seminar)
     4. Scientific visualization or virtual reality demonstration (BYOH)

Accepted presentations will not be published in any proceedings, 
however, viewgraphs and other materials will be reproduced for 
seminar attendees.

ABSTRACTS: Authors should submit a one page abstract and/or videotape to:

     Robert Lipman
     Naval Surface Warfare Center, Carderock Division
     Code 2042
     Bethesda, Maryland  20084-5000

     VOICE (301) 227-3618;  FAX (301) 227-5753  
     E-MAIL  lipman@oasys.dt.navy.mil

Authors should include the type of presentation, their affiliations, 
addresses, telephone and FAX numbers, and addresses.  Multi-author 
papers should designate one point of contact.

**********************************************************************
DEADLINES: The abstact submission deadline is April 30, 1993.  
Notification of acceptance will be sent by May 14, 1993.  
Materials for reproduction must be received by June 1, 1993.
**********************************************************************

For further information, contact Robert Lipman at the above address.

**********************************************************************

	  PLEASE DISTRIBUTE AS WIDELY AS POSSIBLE, THANKS.

**********************************************************************


Robert Lipman                     | Internet: lipman@oasys.dt.navy.mil
David Taylor Model Basin - CDNSWC |       or: lip@ocean.dt.navy.mil
Computational Signatures and      | Voicenet: (301) 227-3618
   Structures Group, Code 2042    | Factsnet: (301) 227-5753
Bethesda, Maryland  20084-5000    | Phishnet: stockings@long.legs",1,comp.graphics
5933,"
How does that compare with JPEG on the same images and hardware as far
as size, speed, and image quality are concerned?

Despite my skeptical and sometimes nearly rabid postings
criticizing Barnsley and company, I am very interested in the
technique.  If I weren't I probably wouldn't be so critical. :-)",1,comp.graphics
10892,"
Having thought about this, why don't you project the 2 lines onto the 2d
plane formed by the lines.  Do an intersection calculation in the plane in
2D, where you're guaranteed a unique solution (unless they're parallel which
won't happen in this case), and then use parametric distance along the lines
from the circle centres to determine the exact point of interest.  This
bypasses the messy error propogation required to do the calculation in 3d.

Hope I haven't put my foot in it again!

steve
---",1,comp.graphics
6870,"Hi,

	I have a few question about graphics programming in VGA/SVGA :

1. How VESA standard works?  Any documentation for VESA standard?

2. At a higher resolution than 320x200x256 or 640x480x16 VGA mode,
   where the video memory A0000-AFFFF is no longer sufficient to hold
   all info, what is the trick to do fast image manipulation?  I
   heard about memory mapping or video memory bank switching but know
   nothing on how it is implemented.   Any advice, anyone?  

3. My interest is in 640x480x256 mode.  Should this mode be called
   SVGA mode?  What is the technique for fast image scrolling for the
   above mode?  How to deal with different SVGA cards?


  Your guidance to books or any other sources to the above questions
would be greatly appreciated.  Please send me mail.


  Thanks in advance!



************************************************************************
*                         Tiang   T.    Foo                            *
*		      tiang@uokmax.ecn.uoknor.edu 		       *
************************************************************************    ",1,comp.graphics
6197,"****************************   SPHINX   ***************************

	Sphinx is a user-friendly, state-of-the-art image processing
and analysis package that runs across a spectrum of high performance 
computer platforms operating UNIX and the X-Window System.

	It was created to meet to the daily research needs of scientists 
conducting climate investigations using satellite data and remote
sensing techniques. 

		   Intuitive Graphic Interface

	Sphinx features an interactive interface with pop-up menus and 
point-and-click dialog boxes which makes image processing and
analysis simple and fast.
	This accessible menuing enables you to build attractive image 
layouts quickly while also providing you the flexibility of returning
to the main menu to conduct other image analysis and processing operations.

		    Image Format Compatibility

	Using smart read/write functions, Sphinx allows you to easily open
and save image files in a variety of formats using bit, integer or real
data values.  Sphinx also reads and writes the common TIFF and GIF formats
as well as compresses and decompresses image formats to save disk space.

		    Image Analysis & Processing

	For image and pixel analysis, the Sphinx package includes an
assortment of processing tools that perform useful statistical and 
mathematical filtering operations, such as Fourier transforms, convolution 
product or principal component analyses.
An interactive interpreter for both algebraic equations and images allows
the user to manipulate and combine individual data channels interactively.
Standard FORTRAN notation is used for formula entry and for trig
onometric and transcendental functions.

		    Satellite Spectra & Orbit Analysis

	Sphinx possesses functions to simulate satellite signal sensitivity
for various meteorological satellites (e.g., GOES, METEOSAT, NOAA, Spot etc.).
The simulations are conducted for a selection of standard atmospheric and
surface conditions and instrument spectral bands.
A geometry model computes the solar zenith angles, warping, orbit simulation,
and 3-D image projection.

		    Easy External Program Interfacing

	Sphinx allows users the flexibility to integrate externally
developed software algorithms for processing and converting satellite
observations.  Sphinx exports and imports image files and image parameters
to external programs using special interface functions.

		    Quick Quality Presentation

	Sphinx rapidly displays, manipulates, and enhances high-resolution
multispectral images and color tables.  Using six 8-bit 1024x1024 image
planes and one graphics plane, the package conveniently combines color images,
graphics and text to generate sharp digital images for articles and reports.
Sphinx's 2-D and 3-D graphics editor provides complete flexibility for modifying
and integrating vector graphics and analysis plots with images, such as 
histograms and radial graphs.  The package supplies color and gray scale
output for standard inkjet and laser printers.
	Other Capabilities Sphinx also performs image animation, external 
graphics importing, mosaic fitting... what else?

		    Software Support & Development

	 Sphinx was developed at the Laboratoire d'Optique Atmospherique (LOA)
 of the Universite de Lille, France.
The package has received critical feedback and support from scientists at
the French national laboratory, Centre National de Recherche Scientifique (CNRS),
and the French space agency, Centre National d'Etudes Spatiales (CNES).
At LOA, Sphinx undergoes continued refinement and development to meet changing
research needs and advances in computer technology.  The package, which features
on-line help, is supported by an Internet address

 sphinx@loasil.citilille.fr through which questions can be answered and
 version updates provided without delay.

		    Performance Tested

 	CNES has selected Sphinx to analyze and process the satellite data 
collected during the upcoming ADEOS/POLDER satellite mission.  Today,
the Sphinx package is in use at the NASA - Goddard Space Flight Center
and is widely used in many French laboratories, including
the Centre de Recherche en Physique de l'Environnement, Ecole Normale Superieure ,
Laboratoire d' Etudes et de Recherches en Teledetection Spatiale,  Laboratoire 
de Meteorologie Dynamique.


   A TEST VERSION OF SPHINX IS AVAILABLE AT loasil.citilille.fr
   (134.206.50.4) anonymous (bin : cd SPHINX : get ALL_SPHINX.tar.Z)

   IN THE TEST VERSION THE OUTPUT FILES ARE DISABLE. HOWEVER THE
   VISUALISATION AND GRAPHIC FUNCTIONS ARE AVAILABLE. THIS IS
   SUFFICIENT TO WORK WITH.

   IF YOU ARE INTERESTED IN KEEPING ""SPHINX"", SEND US YOUR EMAIL
   AND YOU WILL RECEIVE NEWS ABOUT THE PACKAGE EVOLUTION.",1,comp.graphics
9200,"Hi Netters,

I'm building a CAD package and need a 3D graphics library that can handle
some rudimentry tasks, such as hidden line removal, shading, animation, etc.

Can you please offer some recommendations?

I'll also need contact info (name, address, email...) if you can find it.

Thanks

(Please Post Your Responses, in case others have same need)",1,comp.graphics
10753,"I've been trying to figure out a way to get Adobe Illustrator
to auto-trace >exactly< what I see on my screen. But it misses
the edges of templates by as many as 6 pixels or more - resulting in images
that are useless  - I need exact tracing, not approximate.

I've tried adjusting the freehand tolerances as well as autotrace
tolerances but it doesn't help. Any suggestions?
",1,comp.graphics
11060,"

I too would like a 3D graphics library!  How much do C libraries cost
anyway?  Can you get the tools used by, say, RenderMan, and can you get
them at a reasonable cost?

Sorry that I don't have any answers, just questions...",1,comp.graphics
7660,"I don't have nor Imagine nor Real 3d, but as old
Amiga user I think you should take a look also to 
Real 3d 2.0 for the Amiga. I saw Imagine 2.0 on the
Amiga for a long time at my friend's home, and
I've seen R3D 2.0 in action at Bit.Movie 93 in Riccione,
Italy (an Italian Computer Graphics Contest).
Many professionals using 3d Studio on PC, SoftImage
for Silicon Graphics and Imagine on the Amiga were 
*VERY IMPRESSED* by the power of this programs.
Sorry, I've lost the posting with full description 
of features of this great program.

For more informations give a look in comp.sys.amiga.graphics.

Representative of Activa International told me that
it will be out in 2 weeks for the Amiga and that
PC MS-Windows, Silicon Indigo and Unix version are 
under development.

Ciao,
	Sergio



",1,comp.graphics
4042,"We are interested in purchasing a grayscale printer that offers a good
resoltuion for grayscale medical images.  Can anybody give me some
recommendations on these products in the market, in particular, those
under $5000?",1,comp.graphics
2872,"Hi !!! This is the response for Wayne Michael...and certainly for other-one :-)


I'm sorry for...

    1)  The late of the answer but I couldn't find xv221 for msdos 'cause 
	I forgot the address...but I've retrieve it..

    2)  Posting this answer here in comp.graphics 'cause I can't use e-mail,
	not yet....

   2) My bad english 'cause I'm a Swiss and my language is french....


After a long time I retrieve the address where you can find XV for Dos...

	Site	: omnigate.clarkson.edu
	Aliases	: grape.ecs.clarkson.edu
	Number	: 128.153.4.2

	/pub/msdos/djgpp/pub

	it's xv221.zip (?) I think...


Certainly you read the other answer from Kevin Martin... He write about DV/X 
(?). 

    What is it ?????? Could Someone answer ????
	
	Thanx in advance.... 

-- 
---------------------------------------------------------------------
*								    *
*  Pascal PERRET     		|	perret@eicn.etna.ch         *
*  Ecole d'ingénieur ETS	|	(Not Available at this time)*
*  2400 Le LOCLE		|				    *
*  Suisse 							    *
*		     !!!! Enjoy COMPUTER !!!!			    *
*								    *",1,comp.graphics
6347,"Hi all,

  I am looking for a recommandation on a good royalty free graphics
library package for C and C++ program.  This is mainly use to write
children games and education software.  I heard someone mentioned Genus
and also GFX ?  Are they any good?

Please pardon me if my question sounds a little strange, I am asking
this question for a friend.

Thanks in advance!",1,comp.graphics
2567,"I would like to know if anyone has had any luck using the upper 128 ASCII
characters on a Sun station.  I am trying to convert a fortran program to run
on a Sun.  When we write character buffers to the Sun which contain char(218)
or char(196) or char(197) etc.  We get characters on the screen but they are
not the characters in the standard ASCII tables.",1,comp.graphics
1616,"
   Just because the 68070 can run upto 15Mhz doesn't mean the CD-I
is running at that speed.  I said -> I understand it is a 68070 running
at something like 7Mhz.  I am not sure, but I think I read this a long
time ago.

   Anyway, still with 15Mhz, you need sprites for a lot of tricks for
making cool awesome games (read psygnosis).
",1,comp.graphics
4183,"Getting an image from a computer monitor to a videotape
is harder than it looks.  The standard VGA and EGA outputs are 
very different than the NTSC format used by televisions.  While
there is equipment that will do the conversion, it is hard to
get your hands on and costs quite a bit.

	If you have access to an Amiga computer, that has an
NTSC output, you can transfer certain types of graphic files by
modem and tape them from the NTSC output.  Unfortunately, this
would be frame-by-frame and would lead to unbelievably scratchy
animation unless you had a good Amiga animation program.",1,comp.graphics
11235,"
: Can anyone tell me where to find a MPEG viewer (either DOS or
: Windows).

: Thanks in advance.

: -- 
: Alan M. Jackson      Mail : ajackson@cch.cov.ac.uk

:      Liverpool Football Club - Simply The Best
:               ""You'll Never Walk Alone""

You can find a Windows MPEG viewer at wuarchive.wustl.edu in the
mirrors/msdos/windows3 directory.

-- ",1,comp.graphics
8401,"We have a minivas-2 and we want to record to an Abekas A66.
We have most of the functions working but when we go to
set up a record the minivas hangs. We are sending the
abekas SMPTE time code. Does anyone have code we can
compare to what we have done and is there and ftp site
for minivas and abekas code.

Gordon Phillips
glp@cray.com",1,comp.graphics
4255,"Could anyone direct me to the FTP site where I can find the DOS-based
morphing package called DMORF12.ZIP?  I had downloaded this file last week,
but the new DOS 6 crashed my hard drive and I lost it. Now I can't find the
site where I got it from.......

Also, are there any other morphing packages out for DOS (freeware or shareware)


Thanks in advance,
Barry

/---------------------------------------------------------------------------\
\___________________________________________________________________________/
-- ",1,comp.graphics
9104,"Hi!  I am in immediate need for details of various graphics compression
techniques.  So if you know where I could obtain descriptions of algo-
rithms or public-domain source codes for such formats as JPEG, GIF, and
fractals, I would be immensely grateful if you could share the info with
me.  This is for a project I am contemplating of doing.

Thanks in advance.  Please reply via e-mail if possible.",1,comp.graphics
3947,"
By '8 grey level images' you mean 8 items of 1bit images?
It does work(!), but it doesn't work if you have more than 1bit
in your screen and if the screen intensity is non-linear.

With 2 bit per pixel; there could be 1*c_1 + 4*c_2 timing,
this gives 16 levels, but they are linear if screen intensity is
linear.
With 1*c_1 + 2*c_2 it works, but we have to find the best
compinations -- there's 10 levels, but 16 choises; best 10 must be
chosen. Different compinations for the same level, varies a bit, but
the levels keeps their order.

Readers should verify what I wrote... :-)",1,comp.graphics
3429,"Does anybody know what Delaunay Triangulation is?
Is there any reference to it? 
Is it useful for creating 3-D objects? If yes, what's the advantage?

Thanks in advance.",1,comp.graphics
348,"Help!
How do you write to the second bank/page of memory when in VGA
320x200x256 colour mode?. ie: to perform page flipping animation
and buffering of the screen.
     I have tried using the Map Mask Registers, but this does not
perform the required task (Although it does do something).

Note: It *must* be able to work on a standard VGA (ie: not
necessarily a SVGA card).",1,comp.graphics
2844,"
I have to beg to differ on this point, as the batch file I use
to launch cview cd's to the dir where cview resides and then
invokes it.  every time I crash cview, the 0-byte temp file
is found in the root dir of the drive cview is on.

just my $0.13,
cb",1,comp.graphics
8504,"Please , I need the starting address (pointer) for the beginning 
of the color information (RGB) on VGA mode 68h (that's 68 hex, gee, 
duh!)...

Thanks SOOOO much (hugs and kisses) in advance.....",1,comp.graphics
8605,"Hi.  I'm writing a program to convert .dxf files to a database
format used by a 3D graphics program I've written.  My program stores
the points of a polygon in CCW order.  I've used 3D Concepts a 
little and it seems that the points are stored in the order
they are drawn.

Does the DXF format have a way of indicating which order the 
points are stored in, CW or CCW?  Its easy enough to convert,
but if I don't know which way they are stored, I dont know 
which direction the polygon should be visible from.

If DXF doesn't handle this, can anyone recommend a workaround?
The best I can think of is to create two polygons for each one
in the DXF file, one stored CW and the other CCW.  But that
doubles the number of polygons and decreases speed...

Thanks in advance for any help,",1,comp.graphics
7326,"My CorelDRAW 3.0.whatever write SCODL files directly. Look under File|Export
on the main menu. ",1,comp.graphics
6766,"I am looking for an algorithm to determine if a given point is bound by a 
polygon. Does anyone have any such code or a reference to book containing
information on the subject ?

		Regards",1,comp.graphics
11104,"subscribe comp.graphics
quit
",1,comp.graphics
